Date,lmp,node
1/1/2021 11:00:00 AM,22.54,LOUISIANA.HUB
1/1/2021 11:00:00 AM,22.62,MICHIGAN.HUB
1/1/2021 11:00:00 AM,22.62,MINN.HUB
1/1/2021 11:00:00 AM,22.51,MS.HUB
1/1/2021 11:00:00 AM,22.28,TEXAS.HUB
1/1/2021 12:00:00 PM,22.00,ARKANSAS.HUB
1/1/2021 12:00:00 PM,21.87,ILLINOIS.HUB
1/1/2021 12:00:00 PM,22.09,INDIANA.HUB
1/1/2021 12:00:00 PM,22.11,LOUISIANA.HUB
1/1/2021 12:00:00 PM,22.19,MICHIGAN.HUB
1/1/2021 12:00:00 PM,22.19,MINN.HUB
1/1/2021 12:00:00 PM,22.08,MS.HUB
1/1/2021 12:00:00 PM,21.85,TEXAS.HUB
1/1/2021 1:00:00 PM,21.36,ARKANSAS.HUB
1/1/2021 1:00:00 PM,21.17,ILLINOIS.HUB
1/1/2021 1:00:00 PM,21.43,INDIANA.HUB
1/1/2021 1:00:00 PM,21.46,LOUISIANA.HUB
1/1/2021 1:00:00 PM,21.47,MICHIGAN.HUB
1/1/2021 1:00:00 PM,21.62,MINN.HUB
1/1/2021 1:00:00 PM,21.46,MS.HUB
1/1/2021 1:00:00 PM,21.16,TEXAS.HUB
1/1/2021 2:00:00 PM,20.43,ARKANSAS.HUB
1/1/2021 2:00:00 PM,21.09,ILLINOIS.HUB
1/1/2021 2:00:00 PM,21.44,INDIANA.HUB
1/1/2021 2:00:00 PM,21.23,LOUISIANA.HUB
1/1/2021 2:00:00 PM,21.40,MICHIGAN.HUB
1/1/2021 2:00:00 PM,20.38,MINN.HUB
1/1/2021 2:00:00 PM,20.77,MS.HUB
1/1/2021 2:00:00 PM,20.92,TEXAS.HUB
1/1/2021 3:00:00 PM,20.76,ARKANSAS.HUB
1/1/2021 3:00:00 PM,20.58,ILLINOIS.HUB
1/1/2021 3:00:00 PM,20.82,INDIANA.HUB
1/1/2021 3:00:00 PM,20.86,LOUISIANA.HUB
1/1/2021 3:00:00 PM,20.87,MICHIGAN.HUB
1/1/2021 3:00:00 PM,21.02,MINN.HUB
1/1/2021 3:00:00 PM,20.86,MS.HUB
1/1/2021 3:00:00 PM,20.57,TEXAS.HUB
1/1/2021 4:00:00 PM,20.53,ARKANSAS.HUB
1/1/2021 4:00:00 PM,21.19,ILLINOIS.HUB
1/1/2021 4:00:00 PM,21.55,INDIANA.HUB
1/1/2021 4:00:00 PM,21.34,LOUISIANA.HUB
1/1/2021 4:00:00 PM,21.55,MICHIGAN.HUB
1/1/2021 4:00:00 PM,20.48,MINN.HUB
1/1/2021 4:00:00 PM,20.88,MS.HUB
1/1/2021 4:00:00 PM,21.02,TEXAS.HUB
1/1/2021 5:00:00 PM,24.44,ILLINOIS.HUB
1/1/2021 5:00:00 PM,23.66,ARKANSAS.HUB
1/1/2021 5:00:00 PM,24.91,INDIANA.HUB
1/1/2021 5:00:00 PM,24.64,LOUISIANA.HUB
1/1/2021 5:00:00 PM,25.14,MICHIGAN.HUB
1/1/2021 5:00:00 PM,22.92,MINN.HUB
1/1/2021 5:00:00 PM,24.11,MS.HUB
1/1/2021 5:00:00 PM,24.10,TEXAS.HUB
1/1/2021 6:00:00 PM,23.67,ARKANSAS.HUB
1/1/2021 6:00:00 PM,23.69,ILLINOIS.HUB
1/1/2021 6:00:00 PM,24.87,INDIANA.HUB
1/1/2021 6:00:00 PM,23.47,LOUISIANA.HUB
1/1/2021 6:00:00 PM,25.33,MICHIGAN.HUB
1/1/2021 6:00:00 PM,21.98,MINN.HUB
1/1/2021 6:00:00 PM,23.59,MS.HUB
1/1/2021 6:00:00 PM,23.58,TEXAS.HUB
1/1/2021 7:00:00 PM,23.10,ARKANSAS.HUB
1/1/2021 7:00:00 PM,23.01,ILLINOIS.HUB
1/1/2021 7:00:00 PM,24.01,INDIANA.HUB
1/1/2021 7:00:00 PM,22.80,LOUISIANA.HUB
1/1/2021 7:00:00 PM,24.48,MICHIGAN.HUB
1/1/2021 7:00:00 PM,21.59,MINN.HUB
1/1/2021 7:00:00 PM,22.90,MS.HUB
1/1/2021 7:00:00 PM,23.03,TEXAS.HUB
1/1/2021 8:00:00 PM,21.86,ARKANSAS.HUB
1/1/2021 8:00:00 PM,21.77,ILLINOIS.HUB
1/1/2021 8:00:00 PM,22.02,INDIANA.HUB
1/1/2021 8:00:00 PM,21.95,LOUISIANA.HUB
1/1/2021 8:00:00 PM,22.54,MICHIGAN.HUB
1/1/2021 8:00:00 PM,21.99,MINN.HUB
1/1/2021 8:00:00 PM,21.93,MS.HUB
1/1/2021 8:00:00 PM,21.86,TEXAS.HUB
1/1/2021 9:00:00 PM,21.58,ARKANSAS.HUB
1/1/2021 9:00:00 PM,20.84,ILLINOIS.HUB
1/1/2021 9:00:00 PM,21.91,INDIANA.HUB
1/1/2021 9:00:00 PM,22.59,LOUISIANA.HUB
1/1/2021 9:00:00 PM,22.13,MICHIGAN.HUB
1/1/2021 9:00:00 PM,20.31,MINN.HUB
1/1/2021 9:00:00 PM,21.95,MS.HUB
1/1/2021 9:00:00 PM,22.29,TEXAS.HUB
1/1/2021 10:00:00 PM,20.57,ARKANSAS.HUB
1/1/2021 10:00:00 PM,20.16,ILLINOIS.HUB
1/1/2021 10:00:00 PM,21.12,INDIANA.HUB
1/1/2021 10:00:00 PM,20.49,LOUISIANA.HUB
1/1/2021 10:00:00 PM,21.51,MICHIGAN.HUB
1/1/2021 10:00:00 PM,20.79,MINN.HUB
1/1/2021 10:00:00 PM,20.60,MS.HUB
1/1/2021 10:00:00 PM,20.73,TEXAS.HUB
1/1/2021 11:00:00 PM,20.26,ARKANSAS.HUB
1/1/2021 11:00:00 PM,19.84,ILLINOIS.HUB
1/1/2021 11:00:00 PM,20.74,INDIANA.HUB
1/1/2021 11:00:00 PM,20.23,LOUISIANA.HUB
1/1/2021 11:00:00 PM,21.03,MICHIGAN.HUB
1/1/2021 11:00:00 PM,19.42,MINN.HUB
1/1/2021 11:00:00 PM,20.29,MS.HUB
1/1/2021 11:00:00 PM,20.47,TEXAS.HUB
1/2/2021 12:00:00 AM,18.08,ARKANSAS.HUB
1/2/2021 12:00:00 AM,19.31,ILLINOIS.HUB
1/2/2021 12:00:00 AM,19.98,INDIANA.HUB
1/2/2021 12:00:00 AM,18.81,LOUISIANA.HUB
1/2/2021 12:00:00 AM,20.23,MICHIGAN.HUB
1/2/2021 12:00:00 AM,17.73,MINN.HUB
1/2/2021 12:00:00 AM,18.93,MS.HUB
1/2/2021 12:00:00 AM,18.42,TEXAS.HUB
1/2/2021 1:00:00 AM,17.67,ARKANSAS.HUB
1/2/2021 1:00:00 AM,18.93,ILLINOIS.HUB
1/2/2021 1:00:00 AM,19.61,INDIANA.HUB
1/2/2021 1:00:00 AM,18.45,LOUISIANA.HUB
1/2/2021 1:00:00 AM,19.80,MICHIGAN.HUB
1/2/2021 1:00:00 AM,17.75,MINN.HUB
1/2/2021 1:00:00 AM,18.61,MS.HUB
1/2/2021 1:00:00 AM,18.10,TEXAS.HUB
1/2/2021 2:00:00 AM,18.47,ARKANSAS.HUB
1/2/2021 2:00:00 AM,18.45,ILLINOIS.HUB
1/2/2021 2:00:00 AM,18.45,INDIANA.HUB
1/2/2021 2:00:00 AM,18.56,LOUISIANA.HUB
1/2/2021 2:00:00 AM,18.38,MICHIGAN.HUB
1/2/2021 2:00:00 AM,19.47,MINN.HUB
1/2/2021 2:00:00 AM,18.52,MS.HUB
1/2/2021 2:00:00 AM,18.22,TEXAS.HUB
1/2/2021 3:00:00 AM,18.54,ARKANSAS.HUB
1/2/2021 3:00:00 AM,18.51,ILLINOIS.HUB
1/2/2021 3:00:00 AM,18.51,INDIANA.HUB
1/2/2021 3:00:00 AM,18.63,LOUISIANA.HUB
1/2/2021 3:00:00 AM,18.45,MICHIGAN.HUB
1/2/2021 3:00:00 AM,19.54,MINN.HUB
1/2/2021 3:00:00 AM,18.59,MS.HUB
1/2/2021 3:00:00 AM,18.29,TEXAS.HUB
1/2/2021 4:00:00 AM,18.57,ARKANSAS.HUB
1/2/2021 4:00:00 AM,18.54,ILLINOIS.HUB
1/2/2021 4:00:00 AM,18.54,INDIANA.HUB
1/2/2021 4:00:00 AM,18.66,LOUISIANA.HUB
1/2/2021 4:00:00 AM,18.48,MICHIGAN.HUB
1/2/2021 4:00:00 AM,19.58,MINN.HUB
1/2/2021 4:00:00 AM,18.62,MS.HUB
1/2/2021 4:00:00 AM,18.32,TEXAS.HUB
1/2/2021 5:00:00 AM,18.33,ILLINOIS.HUB
1/2/2021 5:00:00 AM,18.36,ARKANSAS.HUB
1/2/2021 5:00:00 AM,18.33,INDIANA.HUB
1/2/2021 5:00:00 AM,18.45,LOUISIANA.HUB
1/2/2021 5:00:00 AM,18.27,MICHIGAN.HUB
1/2/2021 5:00:00 AM,19.35,MINN.HUB
1/2/2021 5:00:00 AM,18.41,MS.HUB
1/2/2021 5:00:00 AM,18.11,TEXAS.HUB
1/2/2021 6:00:00 AM,19.16,ARKANSAS.HUB
1/2/2021 6:00:00 AM,19.05,ILLINOIS.HUB
1/2/2021 6:00:00 AM,19.02,INDIANA.HUB
1/2/2021 6:00:00 AM,19.13,LOUISIANA.HUB
1/2/2021 6:00:00 AM,18.95,MICHIGAN.HUB
1/2/2021 6:00:00 AM,19.86,MINN.HUB
1/2/2021 6:00:00 AM,19.09,MS.HUB
1/2/2021 6:00:00 AM,18.68,TEXAS.HUB
1/2/2021 7:00:00 AM,20.24,ARKANSAS.HUB
1/2/2021 7:00:00 AM,19.88,ILLINOIS.HUB
1/2/2021 7:00:00 AM,20.76,INDIANA.HUB
1/2/2021 7:00:00 AM,20.14,LOUISIANA.HUB
1/2/2021 7:00:00 AM,20.68,MICHIGAN.HUB
1/2/2021 7:00:00 AM,19.70,MINN.HUB
1/2/2021 7:00:00 AM,20.24,MS.HUB
1/2/2021 7:00:00 AM,20.40,TEXAS.HUB
1/2/2021 8:00:00 AM,20.75,ARKANSAS.HUB
1/2/2021 8:00:00 AM,20.89,ILLINOIS.HUB
1/2/2021 8:00:00 AM,21.00,INDIANA.HUB
1/2/2021 8:00:00 AM,21.11,LOUISIANA.HUB
1/2/2021 8:00:00 AM,21.10,MICHIGAN.HUB
1/2/2021 8:00:00 AM,20.34,MINN.HUB
1/2/2021 8:00:00 AM,21.11,MS.HUB
1/2/2021 8:00:00 AM,20.08,TEXAS.HUB
1/2/2021 9:00:00 AM,22.13,ARKANSAS.HUB
1/2/2021 9:00:00 AM,21.99,ILLINOIS.HUB
1/2/2021 9:00:00 AM,22.22,INDIANA.HUB
1/2/2021 9:00:00 AM,22.24,LOUISIANA.HUB
1/2/2021 9:00:00 AM,22.33,MICHIGAN.HUB
1/2/2021 9:00:00 AM,20.90,MINN.HUB
1/2/2021 9:00:00 AM,22.21,MS.HUB
1/2/2021 9:00:00 AM,21.98,TEXAS.HUB
1/2/2021 10:00:00 AM,22.60,ARKANSAS.HUB
1/2/2021 10:00:00 AM,22.86,ILLINOIS.HUB
1/2/2021 10:00:00 AM,23.60,INDIANA.HUB
1/2/2021 10:00:00 AM,22.71,LOUISIANA.HUB
1/2/2021 10:00:00 AM,23.65,MICHIGAN.HUB
1/2/2021 10:00:00 AM,20.61,MINN.HUB
1/2/2021 10:00:00 AM,22.94,MS.HUB
1/2/2021 10:00:00 AM,22.49,TEXAS.HUB
1/2/2021 11:00:00 AM,22.24,ARKANSAS.HUB
1/2/2021 11:00:00 AM,22.46,ILLINOIS.HUB
1/2/2021 11:00:00 AM,23.13,INDIANA.HUB
1/2/2021 11:00:00 AM,22.42,LOUISIANA.HUB
1/2/2021 11:00:00 AM,23.24,MICHIGAN.HUB
1/2/2021 11:00:00 AM,20.90,MINN.HUB
1/2/2021 11:00:00 AM,22.58,MS.HUB
1/2/2021 11:00:00 AM,22.12,TEXAS.HUB
1/2/2021 12:00:00 PM,21.69,ARKANSAS.HUB
1/2/2021 12:00:00 PM,21.94,ILLINOIS.HUB
1/2/2021 12:00:00 PM,22.65,INDIANA.HUB
1/2/2021 12:00:00 PM,21.80,LOUISIANA.HUB
1/2/2021 12:00:00 PM,22.70,MICHIGAN.HUB
1/2/2021 12:00:00 PM,19.78,MINN.HUB
1/2/2021 12:00:00 PM,22.02,MS.HUB
1/2/2021 12:00:00 PM,21.59,TEXAS.HUB
1/2/2021 1:00:00 PM,20.98,ARKANSAS.HUB
1/2/2021 1:00:00 PM,21.22,ILLINOIS.HUB
1/2/2021 1:00:00 PM,21.91,INDIANA.HUB
1/2/2021 1:00:00 PM,21.08,LOUISIANA.HUB
1/2/2021 1:00:00 PM,21.95,MICHIGAN.HUB
1/2/2021 1:00:00 PM,19.28,MINN.HUB
1/2/2021 1:00:00 PM,21.29,MS.HUB
1/2/2021 1:00:00 PM,20.88,TEXAS.HUB
1/2/2021 2:00:00 PM,20.43,ARKANSAS.HUB
1/2/2021 2:00:00 PM,20.89,ILLINOIS.HUB
1/2/2021 2:00:00 PM,21.25,INDIANA.HUB
1/2/2021 2:00:00 PM,21.25,LOUISIANA.HUB
1/2/2021 2:00:00 PM,21.69,MICHIGAN.HUB
1/2/2021 2:00:00 PM,18.06,MINN.HUB
1/2/2021 2:00:00 PM,20.83,MS.HUB
1/2/2021 2:00:00 PM,21.64,TEXAS.HUB
1/2/2021 3:00:00 PM,20.11,ARKANSAS.HUB
1/2/2021 3:00:00 PM,20.78,ILLINOIS.HUB
1/2/2021 3:00:00 PM,21.23,INDIANA.HUB
1/2/2021 3:00:00 PM,21.14,LOUISIANA.HUB
1/2/2021 3:00:00 PM,21.63,MICHIGAN.HUB
1/2/2021 3:00:00 PM,17.63,MINN.HUB
1/2/2021 3:00:00 PM,20.71,MS.HUB
1/2/2021 3:00:00 PM,21.78,TEXAS.HUB
1/2/2021 4:00:00 PM,20.78,ARKANSAS.HUB
1/2/2021 4:00:00 PM,21.02,ILLINOIS.HUB
1/2/2021 4:00:00 PM,21.70,INDIANA.HUB
1/2/2021 4:00:00 PM,20.88,LOUISIANA.HUB
1/2/2021 4:00:00 PM,21.75,MICHIGAN.HUB
1/2/2021 4:00:00 PM,18.38,MINN.HUB
1/2/2021 4:00:00 PM,21.09,MS.HUB
1/2/2021 4:00:00 PM,20.68,TEXAS.HUB
1/2/2021 5:00:00 PM,24.00,ARKANSAS.HUB
1/2/2021 5:00:00 PM,23.90,ILLINOIS.HUB
1/2/2021 5:00:00 PM,25.01,INDIANA.HUB
1/2/2021 5:00:00 PM,23.74,LOUISIANA.HUB
1/2/2021 5:00:00 PM,25.21,MICHIGAN.HUB
1/2/2021 5:00:00 PM,20.94,MINN.HUB
1/2/2021 5:00:00 PM,23.94,MS.HUB
1/2/2021 5:00:00 PM,23.85,TEXAS.HUB
1/2/2021 6:00:00 PM,24.91,ARKANSAS.HUB
1/2/2021 6:00:00 PM,25.30,ILLINOIS.HUB
1/2/2021 6:00:00 PM,26.50,INDIANA.HUB
1/2/2021 6:00:00 PM,24.85,LOUISIANA.HUB
1/2/2021 6:00:00 PM,26.80,MICHIGAN.HUB
1/2/2021 6:00:00 PM,20.95,MINN.HUB
1/2/2021 6:00:00 PM,25.07,MS.HUB
1/2/2021 6:00:00 PM,24.51,TEXAS.HUB
1/2/2021 7:00:00 PM,23.77,ARKANSAS.HUB
1/2/2021 7:00:00 PM,23.85,ILLINOIS.HUB
1/2/2021 7:00:00 PM,25.04,INDIANA.HUB
1/2/2021 7:00:00 PM,23.97,LOUISIANA.HUB
1/2/2021 7:00:00 PM,25.03,MICHIGAN.HUB
1/2/2021 7:00:00 PM,19.75,MINN.HUB
1/2/2021 7:00:00 PM,24.24,MS.HUB
1/2/2021 7:00:00 PM,23.35,TEXAS.HUB
1/2/2021 8:00:00 PM,22.47,ARKANSAS.HUB
1/2/2021 8:00:00 PM,22.40,ILLINOIS.HUB
1/2/2021 8:00:00 PM,23.64,INDIANA.HUB
1/2/2021 8:00:00 PM,23.14,LOUISIANA.HUB
1/2/2021 8:00:00 PM,23.61,MICHIGAN.HUB
1/2/2021 8:00:00 PM,18.47,MINN.HUB
1/2/2021 8:00:00 PM,23.26,MS.HUB
1/2/2021 8:00:00 PM,22.39,TEXAS.HUB
1/2/2021 9:00:00 PM,22.08,ARKANSAS.HUB
1/2/2021 9:00:00 PM,22.08,ILLINOIS.HUB
1/2/2021 9:00:00 PM,23.46,INDIANA.HUB
1/2/2021 9:00:00 PM,23.15,LOUISIANA.HUB
1/2/2021 9:00:00 PM,23.31,MICHIGAN.HUB
1/2/2021 9:00:00 PM,18.21,MINN.HUB
1/2/2021 9:00:00 PM,23.17,MS.HUB
1/2/2021 9:00:00 PM,22.31,TEXAS.HUB
1/2/2021 10:00:00 PM,21.88,TEXAS.HUB
1/2/2021 10:00:00 PM,21.43,ARKANSAS.HUB
1/2/2021 10:00:00 PM,20.94,ILLINOIS.HUB
1/2/2021 10:00:00 PM,21.48,INDIANA.HUB
1/2/2021 10:00:00 PM,22.52,LOUISIANA.HUB
1/2/2021 10:00:00 PM,20.94,MICHIGAN.HUB
1/2/2021 10:00:00 PM,17.76,MINN.HUB
1/2/2021 10:00:00 PM,21.71,MS.HUB
1/2/2021 11:00:00 PM,19.96,ARKANSAS.HUB
1/2/2021 11:00:00 PM,20.06,ILLINOIS.HUB
1/2/2021 11:00:00 PM,21.04,INDIANA.HUB
1/2/2021 11:00:00 PM,21.36,LOUISIANA.HUB
1/2/2021 11:00:00 PM,20.97,MICHIGAN.HUB
1/2/2021 11:00:00 PM,15.99,MINN.HUB
1/2/2021 11:00:00 PM,20.71,MS.HUB
1/2/2021 11:00:00 PM,20.41,TEXAS.HUB
1/3/2021 12:00:00 AM,20.48,ARKANSAS.HUB
1/3/2021 12:00:00 AM,19.67,ILLINOIS.HUB
1/3/2021 12:00:00 AM,20.63,INDIANA.HUB
1/3/2021 12:00:00 AM,21.78,LOUISIANA.HUB
1/3/2021 12:00:00 AM,20.59,MICHIGAN.HUB
1/3/2021 12:00:00 AM,16.27,MINN.HUB
1/3/2021 12:00:00 AM,21.13,MS.HUB
1/3/2021 12:00:00 AM,20.94,TEXAS.HUB
1/3/2021 1:00:00 AM,20.18,ARKANSAS.HUB
1/3/2021 1:00:00 AM,19.54,ILLINOIS.HUB
1/3/2021 1:00:00 AM,20.50,INDIANA.HUB
1/3/2021 1:00:00 AM,21.47,LOUISIANA.HUB
1/3/2021 1:00:00 AM,20.46,MICHIGAN.HUB
1/3/2021 1:00:00 AM,15.87,MINN.HUB
1/3/2021 1:00:00 AM,20.83,MS.HUB
1/3/2021 1:00:00 AM,20.64,TEXAS.HUB
1/3/2021 2:00:00 AM,19.90,ARKANSAS.HUB
1/3/2021 2:00:00 AM,19.43,ILLINOIS.HUB
1/3/2021 2:00:00 AM,20.11,INDIANA.HUB
1/3/2021 2:00:00 AM,20.87,LOUISIANA.HUB
1/3/2021 2:00:00 AM,20.39,MICHIGAN.HUB
1/3/2021 2:00:00 AM,15.69,MINN.HUB
1/3/2021 2:00:00 AM,20.70,MS.HUB
1/3/2021 2:00:00 AM,20.61,TEXAS.HUB
1/3/2021 3:00:00 AM,20.08,ARKANSAS.HUB
1/3/2021 3:00:00 AM,19.47,ILLINOIS.HUB
1/3/2021 3:00:00 AM,20.15,INDIANA.HUB
1/3/2021 3:00:00 AM,21.06,LOUISIANA.HUB
1/3/2021 3:00:00 AM,20.44,MICHIGAN.HUB
1/3/2021 3:00:00 AM,16.05,MINN.HUB
