Date,lmp,node
1/1/2023 11:00:00 AM,34.66,LOUISIANA.HUB
1/1/2023 11:00:00 AM,36.47,MICHIGAN.HUB
1/1/2023 11:00:00 AM,32.33,MINN.HUB
1/1/2023 11:00:00 AM,34.09,MS.HUB
1/1/2023 11:00:00 AM,34.84,TEXAS.HUB
1/1/2023 12:00:00 PM,32.58,ARKANSAS.HUB
1/1/2023 12:00:00 PM,33.25,ILLINOIS.HUB
1/1/2023 12:00:00 PM,34.17,INDIANA.HUB
1/1/2023 12:00:00 PM,33.03,LOUISIANA.HUB
1/1/2023 12:00:00 PM,34.38,MICHIGAN.HUB
1/1/2023 12:00:00 PM,34.01,MINN.HUB
1/1/2023 12:00:00 PM,32.72,MS.HUB
1/1/2023 12:00:00 PM,33.14,TEXAS.HUB
1/1/2023 1:00:00 PM,32.47,ARKANSAS.HUB
1/1/2023 1:00:00 PM,33.03,ILLINOIS.HUB
1/1/2023 1:00:00 PM,33.95,INDIANA.HUB
1/1/2023 1:00:00 PM,32.91,LOUISIANA.HUB
1/1/2023 1:00:00 PM,34.16,MICHIGAN.HUB
1/1/2023 1:00:00 PM,33.79,MINN.HUB
1/1/2023 1:00:00 PM,32.61,MS.HUB
1/1/2023 1:00:00 PM,33.02,TEXAS.HUB
1/1/2023 2:00:00 PM,33.58,ARKANSAS.HUB
1/1/2023 2:00:00 PM,32.97,ILLINOIS.HUB
1/1/2023 2:00:00 PM,34.26,INDIANA.HUB
1/1/2023 2:00:00 PM,33.34,LOUISIANA.HUB
1/1/2023 2:00:00 PM,33.54,MICHIGAN.HUB
1/1/2023 2:00:00 PM,31.35,MINN.HUB
1/1/2023 2:00:00 PM,33.47,MS.HUB
1/1/2023 2:00:00 PM,33.76,TEXAS.HUB
1/1/2023 3:00:00 PM,33.80,ARKANSAS.HUB
1/1/2023 3:00:00 PM,33.19,ILLINOIS.HUB
1/1/2023 3:00:00 PM,34.49,INDIANA.HUB
1/1/2023 3:00:00 PM,33.56,LOUISIANA.HUB
1/1/2023 3:00:00 PM,33.77,MICHIGAN.HUB
1/1/2023 3:00:00 PM,31.56,MINN.HUB
1/1/2023 3:00:00 PM,33.69,MS.HUB
1/1/2023 3:00:00 PM,33.98,TEXAS.HUB
1/1/2023 4:00:00 PM,34.45,ARKANSAS.HUB
1/1/2023 4:00:00 PM,36.13,ILLINOIS.HUB
1/1/2023 4:00:00 PM,37.61,INDIANA.HUB
1/1/2023 4:00:00 PM,35.17,LOUISIANA.HUB
1/1/2023 4:00:00 PM,37.88,MICHIGAN.HUB
1/1/2023 4:00:00 PM,34.70,MINN.HUB
1/1/2023 4:00:00 PM,34.79,MS.HUB
1/1/2023 4:00:00 PM,35.13,TEXAS.HUB
1/1/2023 5:00:00 PM,39.90,ARKANSAS.HUB
1/1/2023 5:00:00 PM,44.21,ILLINOIS.HUB
1/1/2023 5:00:00 PM,45.26,INDIANA.HUB
1/1/2023 5:00:00 PM,40.38,LOUISIANA.HUB
1/1/2023 5:00:00 PM,45.23,MICHIGAN.HUB
1/1/2023 5:00:00 PM,46.79,MINN.HUB
1/1/2023 5:00:00 PM,40.06,MS.HUB
1/1/2023 5:00:00 PM,40.72,TEXAS.HUB
1/1/2023 6:00:00 PM,41.12,ARKANSAS.HUB
1/1/2023 6:00:00 PM,43.64,ILLINOIS.HUB
1/1/2023 6:00:00 PM,45.28,INDIANA.HUB
