Date,LMP,HUB
1/1/2023 11:00:00 AM,26.18,INDIANA.HUB
1/1/2023 11:00:00 AM,25.26,LOUISIANA.HUB
1/1/2023 11:00:00 AM,26.09,MICHIGAN.HUB
1/1/2023 11:00:00 AM,24.96,MINN.HUB
1/1/2023 11:00:00 AM,24.91,MS.HUB
1/1/2023 12:00:00 PM,24.63,ARKANSAS.HUB
1/1/2023 12:00:00 PM,25.6,ILLINOIS.HUB
1/1/2023 12:00:00 PM,26.14,INDIANA.HUB
1/1/2023 12:00:00 PM,25.27,LOUISIANA.HUB
1/1/2023 12:00:00 PM,26.07,MICHIGAN.HUB
1/1/2023 12:00:00 PM,24.97,MINN.HUB
1/1/2023 12:00:00 PM,24.9,MS.HUB
1/1/2023 12:00:00 PM,25.24,TEXAS.HUB
1/1/2023 2:00:00 PM,26.85,ILLINOIS.HUB
1/1/2023 2:00:00 PM,27.32,INDIANA.HUB
1/1/2023 2:00:00 PM,26.52,LOUISIANA.HUB
1/1/2023 2:00:00 PM,27.25,MICHIGAN.HUB
1/1/2023 2:00:00 PM,26.49,MINN.HUB
1/1/2023 2:00:00 PM,26.13,MS.HUB
1/1/2023 2:00:00 PM,25.86,ARKANSAS.HUB
1/1/2023 2:00:00 PM,26.54,TEXAS.HUB
1/1/2023 3:00:00 PM,26.1,TEXAS.HUB
1/1/2023 3:00:00 PM,26.64,ILLINOIS.HUB
1/1/2023 3:00:00 PM,27.08,INDIANA.HUB
1/1/2023 3:00:00 PM,26.24,LOUISIANA.HUB
1/1/2023 3:00:00 PM,27,MICHIGAN.HUB
1/1/2023 3:00:00 PM,26.46,MINN.HUB
1/1/2023 3:00:00 PM,25.87,MS.HUB
1/1/2023 3:00:00 PM,25.62,ARKANSAS.HUB
1/1/2023 4:00:00 PM,27,LOUISIANA.HUB
1/1/2023 4:00:00 PM,27.74,MICHIGAN.HUB
1/1/2023 4:00:00 PM,27.46,MINN.HUB
1/1/2023 4:00:00 PM,26.64,MS.HUB
1/1/2023 4:00:00 PM,26.8,TEXAS.HUB
1/1/2023 4:00:00 PM,26.42,ARKANSAS.HUB
1/1/2023 4:00:00 PM,27.41,ILLINOIS.HUB
1/1/2023 4:00:00 PM,27.93,INDIANA.HUB
1/1/2023 5:00:00 PM,34.49,MICHIGAN.HUB
1/1/2023 5:00:00 PM,34.56,MINN.HUB
1/1/2023 5:00:00 PM,32.81,MS.HUB
1/1/2023 5:00:00 PM,32.85,TEXAS.HUB
1/1/2023 5:00:00 PM,32.49,ARKANSAS.HUB
1/1/2023 5:00:00 PM,34.09,ILLINOIS.HUB
1/1/2023 5:00:00 PM,34.81,INDIANA.HUB
1/1/2023 5:00:00 PM,33.21,LOUISIANA.HUB
1/1/2023 7:00:00 PM,33.28,ILLINOIS.HUB
1/1/2023 7:00:00 PM,33.89,INDIANA.HUB
1/1/2023 7:00:00 PM,32.98,LOUISIANA.HUB
1/1/2023 7:00:00 PM,33.36,MICHIGAN.HUB
1/1/2023 7:00:00 PM,34.85,MINN.HUB
1/1/2023 7:00:00 PM,32.44,MS.HUB
1/1/2023 7:00:00 PM,32.16,ARKANSAS.HUB
1/1/2023 7:00:00 PM,32.5,TEXAS.HUB
1/1/2023 8:00:00 PM,26.55,ARKANSAS.HUB
1/1/2023 8:00:00 PM,27.6,ILLINOIS.HUB
1/1/2023 8:00:00 PM,28.13,INDIANA.HUB
1/1/2023 8:00:00 PM,27.28,LOUISIANA.HUB
1/1/2023 8:00:00 PM,27.68,MICHIGAN.HUB
1/1/2023 8:00:00 PM,28.83,MINN.HUB
1/1/2023 8:00:00 PM,26.85,MS.HUB
1/1/2023 8:00:00 PM,26.8,TEXAS.HUB
1/1/2023 9:00:00 PM,30.07,ILLINOIS.HUB
1/1/2023 9:00:00 PM,30.62,INDIANA.HUB
1/1/2023 9:00:00 PM,28.15,LOUISIANA.HUB
1/1/2023 9:00:00 PM,30.19,MICHIGAN.HUB
1/1/2023 9:00:00 PM,34.75,MINN.HUB
1/1/2023 9:00:00 PM,27.78,MS.HUB
1/1/2023 9:00:00 PM,27.48,TEXAS.HUB
1/1/2023 9:00:00 PM,27.21,ARKANSAS.HUB
1/1/2023 10:00:00 PM,25.5,LOUISIANA.HUB
1/1/2023 10:00:00 PM,26.02,MICHIGAN.HUB
1/1/2023 10:00:00 PM,26.84,MINN.HUB
1/1/2023 10:00:00 PM,24.81,ARKANSAS.HUB
1/1/2023 10:00:00 PM,25.13,MS.HUB
1/1/2023 10:00:00 PM,25.13,TEXAS.HUB
1/1/2023 10:00:00 PM,25.85,ILLINOIS.HUB
1/1/2023 10:00:00 PM,26.32,INDIANA.HUB
1/2/2023 12:00:00 AM,22.87,ARKANSAS.HUB
1/2/2023 12:00:00 AM,24.07,ILLINOIS.HUB
1/2/2023 12:00:00 AM,24.54,INDIANA.HUB
1/2/2023 12:00:00 AM,23.68,LOUISIANA.HUB
1/2/2023 12:00:00 AM,24.46,MICHIGAN.HUB
1/2/2023 12:00:00 AM,24.45,MINN.HUB
1/2/2023 12:00:00 AM,23.31,MS.HUB
1/2/2023 12:00:00 AM,23.23,TEXAS.HUB
1/2/2023 1:00:00 AM,23.77,ILLINOIS.HUB
1/2/2023 1:00:00 AM,24.21,INDIANA.HUB
1/2/2023 1:00:00 AM,22,LOUISIANA.HUB
1/2/2023 1:00:00 AM,24.23,MICHIGAN.HUB
1/2/2023 1:00:00 AM,24.12,MINN.HUB
1/2/2023 1:00:00 AM,21.59,MS.HUB
1/2/2023 1:00:00 AM,21.54,TEXAS.HUB
1/2/2023 1:00:00 AM,21.13,ARKANSAS.HUB
1/2/2023 2:00:00 AM,22.07,ILLINOIS.HUB
1/2/2023 2:00:00 AM,22.54,INDIANA.HUB
1/2/2023 2:00:00 AM,20.24,LOUISIANA.HUB
1/2/2023 2:00:00 AM,22.6,MICHIGAN.HUB
1/2/2023 2:00:00 AM,22.33,MINN.HUB
1/2/2023 2:00:00 AM,19.78,MS.HUB
1/2/2023 2:00:00 AM,19.32,ARKANSAS.HUB
1/2/2023 2:00:00 AM,19.78,TEXAS.HUB
1/2/2023 3:00:00 AM,21.13,LOUISIANA.HUB
1/2/2023 3:00:00 AM,22.58,MICHIGAN.HUB
1/2/2023 3:00:00 AM,22.44,MINN.HUB
1/2/2023 3:00:00 AM,20.73,MS.HUB
1/2/2023 3:00:00 AM,20.6,TEXAS.HUB
1/2/2023 3:00:00 AM,20.24,ARKANSAS.HUB
1/2/2023 3:00:00 AM,22.04,ILLINOIS.HUB
1/2/2023 3:00:00 AM,22.55,INDIANA.HUB
1/2/2023 4:00:00 AM,22.46,ILLINOIS.HUB
1/2/2023 4:00:00 AM,23.02,INDIANA.HUB
1/2/2023 4:00:00 AM,20.78,LOUISIANA.HUB
1/2/2023 4:00:00 AM,23.07,MICHIGAN.HUB
1/2/2023 4:00:00 AM,22.99,MINN.HUB
1/2/2023 4:00:00 AM,20.22,TEXAS.HUB
1/2/2023 4:00:00 AM,19.87,ARKANSAS.HUB
1/2/2023 4:00:00 AM,20.36,MS.HUB
1/2/2023 5:00:00 AM,27.83,ILLINOIS.HUB
1/2/2023 5:00:00 AM,28.51,INDIANA.HUB
1/2/2023 5:00:00 AM,22,LOUISIANA.HUB
1/2/2023 5:00:00 AM,28.62,MICHIGAN.HUB
1/2/2023 5:00:00 AM,28.51,MINN.HUB
1/2/2023 5:00:00 AM,21.48,MS.HUB
1/2/2023 5:00:00 AM,21.33,TEXAS.HUB
1/2/2023 5:00:00 AM,20.9,ARKANSAS.HUB
1/2/2023 6:00:00 AM,57.46,ILLINOIS.HUB
1/2/2023 6:00:00 AM,58.99,INDIANA.HUB
1/2/2023 6:00:00 AM,24.04,LOUISIANA.HUB
1/2/2023 6:00:00 AM,59.27,MICHIGAN.HUB
1/2/2023 6:00:00 AM,58.07,MINN.HUB
1/2/2023 6:00:00 AM,23.02,MS.HUB
1/2/2023 6:00:00 AM,22.59,TEXAS.HUB
1/2/2023 6:00:00 AM,21.99,ARKANSAS.HUB
1/2/2023 7:00:00 AM,29.33,ILLINOIS.HUB
1/2/2023 7:00:00 AM,30.19,INDIANA.HUB
1/2/2023 7:00:00 AM,22.49,LOUISIANA.HUB
1/2/2023 7:00:00 AM,30.37,MICHIGAN.HUB
1/2/2023 7:00:00 AM,29.24,MINN.HUB
1/2/2023 7:00:00 AM,22,MS.HUB
1/2/2023 7:00:00 AM,21.85,TEXAS.HUB
1/2/2023 7:00:00 AM,21.38,ARKANSAS.HUB
1/2/2023 8:00:00 AM,27.8,ILLINOIS.HUB
1/2/2023 8:00:00 AM,28.53,INDIANA.HUB
1/2/2023 8:00:00 AM,21.54,LOUISIANA.HUB
1/2/2023 8:00:00 AM,28.62,MICHIGAN.HUB
1/2/2023 8:00:00 AM,27.95,MINN.HUB
1/2/2023 8:00:00 AM,21.04,MS.HUB
1/2/2023 8:00:00 AM,21.06,TEXAS.HUB
1/2/2023 8:00:00 AM,20.48,ARKANSAS.HUB
1/2/2023 9:00:00 AM,28.4,ILLINOIS.HUB
1/2/2023 9:00:00 AM,29.19,INDIANA.HUB
1/2/2023 9:00:00 AM,24.69,LOUISIANA.HUB
1/2/2023 9:00:00 AM,29.25,MICHIGAN.HUB
1/2/2023 9:00:00 AM,28.68,MINN.HUB
1/2/2023 9:00:00 AM,24.25,MS.HUB
1/2/2023 9:00:00 AM,24.1,TEXAS.HUB
1/2/2023 9:00:00 AM,23.61,ARKANSAS.HUB
1/2/2023 10:00:00 AM,28.8,ARKANSAS.HUB
1/2/2023 10:00:00 AM,52.71,ILLINOIS.HUB
1/2/2023 10:00:00 AM,54.17,INDIANA.HUB
1/2/2023 10:00:00 AM,30.69,LOUISIANA.HUB
1/2/2023 10:00:00 AM,54.17,MICHIGAN.HUB
1/2/2023 10:00:00 AM,52.79,MINN.HUB
1/2/2023 10:00:00 AM,29.88,MS.HUB
1/2/2023 10:00:00 AM,29.26,TEXAS.HUB
1/2/2023 11:00:00 AM,37.16,MICHIGAN.HUB
1/2/2023 11:00:00 AM,37.11,MINN.HUB
1/2/2023 11:00:00 AM,32.66,MS.HUB
1/2/2023 11:00:00 AM,31.9,ARKANSAS.HUB
1/2/2023 11:00:00 AM,32.27,TEXAS.HUB
1/2/2023 11:00:00 AM,36.47,ILLINOIS.HUB
1/2/2023 11:00:00 AM,37.27,INDIANA.HUB
1/2/2023 11:00:00 AM,33.3,LOUISIANA.HUB
1/2/2023 12:00:00 PM,34.16,ARKANSAS.HUB
1/2/2023 12:00:00 PM,34.75,TEXAS.HUB
1/2/2023 12:00:00 PM,39.88,ILLINOIS.HUB
1/2/2023 12:00:00 PM,40.62,INDIANA.HUB
1/2/2023 12:00:00 PM,35.77,LOUISIANA.HUB
1/2/2023 12:00:00 PM,40.47,MICHIGAN.HUB
1/2/2023 12:00:00 PM,40.93,MINN.HUB
1/2/2023 12:00:00 PM,34.98,MS.HUB
1/2/2023 1:00:00 PM,33.82,ILLINOIS.HUB
1/2/2023 1:00:00 PM,34.37,INDIANA.HUB
1/2/2023 1:00:00 PM,33.44,LOUISIANA.HUB
1/2/2023 1:00:00 PM,34.19,MICHIGAN.HUB
1/2/2023 1:00:00 PM,34.64,MINN.HUB
1/2/2023 1:00:00 PM,32.66,MS.HUB
1/2/2023 1:00:00 PM,32.59,TEXAS.HUB
1/2/2023 1:00:00 PM,31.97,ARKANSAS.HUB
1/2/2023 2:00:00 PM,33.37,MICHIGAN.HUB
1/2/2023 2:00:00 PM,33.33,MINN.HUB
1/2/2023 2:00:00 PM,31.91,MS.HUB
1/2/2023 2:00:00 PM,32.92,ILLINOIS.HUB
1/2/2023 2:00:00 PM,33.5,INDIANA.HUB
1/2/2023 2:00:00 PM,32.74,LOUISIANA.HUB
1/2/2023 2:00:00 PM,31.91,TEXAS.HUB
1/2/2023 2:00:00 PM,31.2,ARKANSAS.HUB
1/2/2023 3:00:00 PM,30.22,LOUISIANA.HUB
1/2/2023 3:00:00 PM,30.89,MICHIGAN.HUB
1/2/2023 3:00:00 PM,30.28,MINN.HUB
1/2/2023 3:00:00 PM,29.39,MS.HUB
1/2/2023 3:00:00 PM,29.41,TEXAS.HUB
1/2/2023 3:00:00 PM,28.65,ARKANSAS.HUB
1/2/2023 3:00:00 PM,30.25,ILLINOIS.HUB
1/2/2023 3:00:00 PM,30.9,INDIANA.HUB
1/2/2023 4:00:00 PM,31.54,TEXAS.HUB
1/2/2023 4:00:00 PM,30.79,ARKANSAS.HUB
1/2/2023 4:00:00 PM,32.52,LOUISIANA.HUB
1/2/2023 4:00:00 PM,33.66,MICHIGAN.HUB
1/2/2023 4:00:00 PM,32.17,MINN.HUB
1/2/2023 4:00:00 PM,31.72,MS.HUB
1/2/2023 4:00:00 PM,32.74,ILLINOIS.HUB
1/2/2023 4:00:00 PM,33.65,INDIANA.HUB
1/2/2023 5:00:00 PM,33.15,LOUISIANA.HUB
1/2/2023 5:00:00 PM,34.73,MICHIGAN.HUB
1/2/2023 5:00:00 PM,35.32,MINN.HUB
1/2/2023 5:00:00 PM,32.41,MS.HUB
1/2/2023 5:00:00 PM,32.1,TEXAS.HUB
1/2/2023 5:00:00 PM,31.43,ARKANSAS.HUB
1/2/2023 5:00:00 PM,33.48,ILLINOIS.HUB
1/2/2023 5:00:00 PM,34.57,INDIANA.HUB
1/2/2023 6:00:00 PM,34.44,ILLINOIS.HUB
1/2/2023 6:00:00 PM,35.53,INDIANA.HUB
1/2/2023 6:00:00 PM,33.32,TEXAS.HUB
1/2/2023 6:00:00 PM,34.29,LOUISIANA.HUB
1/2/2023 6:00:00 PM,35.52,MICHIGAN.HUB
1/2/2023 6:00:00 PM,36.18,MINN.HUB
1/2/2023 6:00:00 PM,33.49,MS.HUB
1/2/2023 6:00:00 PM,32.53,ARKANSAS.HUB
1/2/2023 7:00:00 PM,34.33,LOUISIANA.HUB
1/2/2023 7:00:00 PM,32.39,ARKANSAS.HUB
1/2/2023 7:00:00 PM,35.17,MICHIGAN.HUB
1/2/2023 7:00:00 PM,38.26,MINN.HUB
1/2/2023 7:00:00 PM,33.52,MS.HUB
1/2/2023 7:00:00 PM,33.34,TEXAS.HUB
1/2/2023 7:00:00 PM,34.02,ILLINOIS.HUB
1/2/2023 7:00:00 PM,35.18,INDIANA.HUB
1/2/2023 8:00:00 PM,30.61,TEXAS.HUB
1/2/2023 8:00:00 PM,31.06,ILLINOIS.HUB
1/2/2023 8:00:00 PM,32.2,INDIANA.HUB
1/2/2023 8:00:00 PM,31.56,LOUISIANA.HUB
1/2/2023 8:00:00 PM,32.29,MICHIGAN.HUB
1/2/2023 8:00:00 PM,32.56,MINN.HUB
1/2/2023 8:00:00 PM,30.88,MS.HUB
1/2/2023 8:00:00 PM,29.7,ARKANSAS.HUB
1/2/2023 9:00:00 PM,25.29,ILLINOIS.HUB
1/2/2023 9:00:00 PM,26.34,INDIANA.HUB
1/2/2023 9:00:00 PM,25.8,LOUISIANA.HUB
1/2/2023 9:00:00 PM,26.57,MICHIGAN.HUB
1/2/2023 9:00:00 PM,29.02,MINN.HUB
1/2/2023 9:00:00 PM,25.22,MS.HUB
1/2/2023 9:00:00 PM,24.24,ARKANSAS.HUB
1/2/2023 9:00:00 PM,25.11,TEXAS.HUB
1/2/2023 10:00:00 PM,22.23,ARKANSAS.HUB
1/2/2023 10:00:00 PM,23.2,TEXAS.HUB
1/2/2023 10:00:00 PM,23.14,ILLINOIS.HUB
1/2/2023 10:00:00 PM,24.33,INDIANA.HUB
1/2/2023 10:00:00 PM,23.97,LOUISIANA.HUB
1/2/2023 10:00:00 PM,24.72,MICHIGAN.HUB
1/2/2023 10:00:00 PM,26.68,MINN.HUB
1/2/2023 10:00:00 PM,23.44,MS.HUB
1/3/2023 1:00:00 AM,22.1,ILLINOIS.HUB
1/3/2023 1:00:00 AM,23.23,INDIANA.HUB
1/3/2023 1:00:00 AM,22.62,LOUISIANA.HUB
1/3/2023 1:00:00 AM,23.65,MICHIGAN.HUB
1/3/2023 1:00:00 AM,21.77,MINN.HUB
1/3/2023 1:00:00 AM,22.26,MS.HUB
1/3/2023 1:00:00 AM,21.89,TEXAS.HUB
1/3/2023 1:00:00 AM,21.19,ARKANSAS.HUB
1/3/2023 2:00:00 AM,20.78,LOUISIANA.HUB
1/3/2023 2:00:00 AM,21.74,MICHIGAN.HUB
1/3/2023 2:00:00 AM,20.05,MINN.HUB
1/3/2023 2:00:00 AM,20.45,MS.HUB
1/3/2023 2:00:00 AM,20.05,TEXAS.HUB
1/3/2023 2:00:00 AM,19.42,ARKANSAS.HUB
1/3/2023 2:00:00 AM,20.5,ILLINOIS.HUB
1/3/2023 2:00:00 AM,21.36,INDIANA.HUB
1/3/2023 3:00:00 AM,20.17,TEXAS.HUB
1/3/2023 3:00:00 AM,19.59,ARKANSAS.HUB
1/3/2023 3:00:00 AM,20.72,ILLINOIS.HUB
1/3/2023 3:00:00 AM,21.57,INDIANA.HUB
1/3/2023 3:00:00 AM,20.88,LOUISIANA.HUB
1/3/2023 3:00:00 AM,21.9,MICHIGAN.HUB
1/3/2023 3:00:00 AM,20.51,MINN.HUB
1/3/2023 3:00:00 AM,20.59,MS.HUB
1/3/2023 4:00:00 AM,19.63,MS.HUB
1/3/2023 4:00:00 AM,19.27,TEXAS.HUB
1/3/2023 4:00:00 AM,18.68,ARKANSAS.HUB
1/3/2023 4:00:00 AM,19.62,ILLINOIS.HUB
1/3/2023 4:00:00 AM,20.48,INDIANA.HUB
1/3/2023 4:00:00 AM,19.94,LOUISIANA.HUB
1/3/2023 4:00:00 AM,20.71,MICHIGAN.HUB
1/3/2023 4:00:00 AM,20.26,MINN.HUB
1/3/2023 5:00:00 AM,21.01,ILLINOIS.HUB
1/3/2023 5:00:00 AM,21.97,INDIANA.HUB
1/3/2023 5:00:00 AM,21.14,LOUISIANA.HUB
1/3/2023 5:00:00 AM,22.22,MICHIGAN.HUB
1/3/2023 5:00:00 AM,20.55,MINN.HUB
1/3/2023 5:00:00 AM,20.85,MS.HUB
1/3/2023 5:00:00 AM,20.37,TEXAS.HUB
1/3/2023 5:00:00 AM,19.8,ARKANSAS.HUB
1/3/2023 6:00:00 AM,27.71,ILLINOIS.HUB
1/3/2023 6:00:00 AM,29.15,INDIANA.HUB
1/3/2023 6:00:00 AM,27.58,LOUISIANA.HUB
1/3/2023 6:00:00 AM,29.39,MICHIGAN.HUB
1/3/2023 6:00:00 AM,26.4,MINN.HUB
1/3/2023 6:00:00 AM,27.32,MS.HUB
1/3/2023 6:00:00 AM,26.53,TEXAS.HUB
1/3/2023 6:00:00 AM,25.99,ARKANSAS.HUB
1/3/2023 7:00:00 AM,32.75,ARKANSAS.HUB
1/3/2023 7:00:00 AM,35.01,ILLINOIS.HUB
1/3/2023 7:00:00 AM,36.66,INDIANA.HUB
1/3/2023 7:00:00 AM,34.65,LOUISIANA.HUB
1/3/2023 7:00:00 AM,37.13,MICHIGAN.HUB
1/3/2023 7:00:00 AM,32.71,MINN.HUB
1/3/2023 7:00:00 AM,34.31,MS.HUB
1/3/2023 7:00:00 AM,33.22,TEXAS.HUB
1/3/2023 8:00:00 AM,30.66,TEXAS.HUB
1/3/2023 8:00:00 AM,30.27,ARKANSAS.HUB
1/3/2023 8:00:00 AM,32.45,ILLINOIS.HUB
1/3/2023 8:00:00 AM,33.81,INDIANA.HUB
1/3/2023 8:00:00 AM,32.07,LOUISIANA.HUB
1/3/2023 8:00:00 AM,34.16,MICHIGAN.HUB
1/3/2023 8:00:00 AM,30.98,MINN.HUB
1/3/2023 8:00:00 AM,31.71,MS.HUB
1/3/2023 9:00:00 AM,34.81,TEXAS.HUB
